;foto;localizacao;nome
45;./Mulheres Palestrantes_files/0afb5c6c63c9e0ce7666528524ed6727.jpeg;São Paulo/SP;Anna Cruz
46;./Mulheres Palestrantes_files/6d3f646a5629bc5e23a73cec15cb4975.jpeg;Rio de Janeiro/RJ e São Paulo/SP;Annelise Gripp
47;./Mulheres Palestrantes_files/anyssaferreira-296x300.jpg;Rio de Janeiro/RJ;Anyssa Ferreira
48;./Mulheres Palestrantes_files/1ccd5f673dc4ab769c25180b5b4da5e1.jpeg;São Paulo/SP;Ariadne Pinheiro
49;./Mulheres Palestrantes_files/416a736d3a63450abc19b91bbb7ce64b;Rio de Janeiro/RJ;Ariane Parra
50;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAm0AAAAJDVlYjAxMDI5LWNjMTgtNGQxMy1hNjZkLWEyMTY0YWIyNDVkZA.jpg;São Paulo/SP;Ariane Feijó
51;./Mulheres Palestrantes_files/14958fc6544edc07d96d33d6b6ba6a0b.jpeg;Porto Alegre/RS;Ariane Izac
52;./Mulheres Palestrantes_files/33342fd.jpg;Campinas/SP;Ariela Ranielly de Paula Silveira
53;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Augusta Guta Orofino
54;./Mulheres Palestrantes_files/763533;São Paulo/SP;Bárbara Barbosa
55;./Mulheres Palestrantes_files/b0bf5ac8e0adfef3bd50004203ef9df7.jpeg;São Paulo/SP;Bárbara Cabral
56;./Mulheres Palestrantes_files/e0914b23096ad6b2c4f16ae206f20b90.jpeg;Florianópolis/SC;Bárbara Dariano Silva Suzuki
57;./Mulheres Palestrantes_files/photo.jpg;São Paulo/SP;Barbara Jacinto
58;./Mulheres Palestrantes_files/HZdoLbi9.jpg;São Paulo/SP;Bianca Brancaleone
59;./Mulheres Palestrantes_files/63ddf8a769ed56c72f36a35c85b5d337.jpeg;Sorocaba/SP;Bianca Rosa
60;./Mulheres Palestrantes_files/17528956;Rio de Janeiro/RJ;Bianca Marques
61;./Mulheres Palestrantes_files/5debfa9b1fb78885f4e8df4915cb425f.jpeg;Salvador/BA;Cah Felix
62;./Mulheres Palestrantes_files/2078347;São Paulo/SP;Camila Achutti
63;./Mulheres Palestrantes_files/2309096;São Paulo/SP;Camila Campos
64;./Mulheres Palestrantes_files/691624a81373dd9da912e1bda573fe10.jpeg;São Paulo/SP;Camila Ferreira
65;./Mulheres Palestrantes_files/placeholder-female.jpg;Florianópolis/SC;Camila Godoy
66;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Camila Haddad
67;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Camila Petry Feiler
68;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgtAAAAJGUyZWNhODE0LTIzMTQtNDhmOC05ZWQ5LWE0ZjZhOWViNzEwMg.jpg;Curitiba/PR;Carine Roos
69;./Mulheres Palestrantes_files/AAEAAQAAAAAAAA26AAAAJGRmMjg4ZDA5LWEzYmYtNGZkOS1iZDM0LWI1ODVmNDMwYTgwZA.jpg;São Paulo/SP;Carla de Bona
70;./Mulheres Palestrantes_files/AAEAAQAAAAAAAArhAAAAJDI2MmY3NDU0LTQxZTItNDAyZC05MzQwLTFjMWE5NmRiMzU1Ng.jpg;São Paulo/SP;Carla Moranga
71;./Mulheres Palestrantes_files/AAEAAQAAAAAAAArfAAAAJGQyNzA4NDQ1LTI2YjEtNGQ0NS1hOGU3LWY5MzU3Zjk0OWViOA.jpg;São Paulo/SP;Camila Waz
72;./Mulheres Palestrantes_files/5ed936f516df3562fe20b3a1338e7fb5.jpeg;João Pessoa/PB;Camilla Falconi Crispim
73;./Mulheres Palestrantes_files/placeholder-female.jpg;Recife/PE;Carol Aguiar
74;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAedAAAAJDhjYzVjYTIxLTU1ZTMtNDQzNy05YmVhLTUwYTcwZDdmNjNhMw.jpg;Curitiba/PR;Carol Patrocínio
75;./Mulheres Palestrantes_files/mini-carolina.png;São Paulo/SP;Carolina Ruhman Sandler
76;./Mulheres Palestrantes_files/6430260;São Paulo/SP;Caroline Burle
77;./Mulheres Palestrantes_files/i114D6dv_400x400.jpg;São Paulo/SP;Celine Ramos
78;./Mulheres Palestrantes_files/2c5fdc63b557f2588138056240fba94e;Salvador/BA;Chaiane Simmler
79;./Mulheres Palestrantes_files/f4d05fff206f059c2c5925df8dbf1bdb.jpeg;Itajaí/SC;Cíntia Mara
80;./Mulheres Palestrantes_files/8d7d0c819f2b46610e81cecf0a122c8f;Belo Horizonte/MG;Clara Verena Battesini
81;./Mulheres Palestrantes_files/24b4c5a.jpg;Salvador/BA;Clarissa Barreto
82;./Mulheres Palestrantes_files/9be3ac92a937615d8547ceec4072f177;Porto Alegre/RS;Clarissa Sóter
83;./Mulheres Palestrantes_files/96289319fa2117a461d6cfbfbf3910cf.jpeg;Recife/PE;Claudia Carolina Boletti
84;./Mulheres Palestrantes_files/AAEAAQAAAAAAAASIAAAAJDM2NDA0NjU0LTljMWEtNGQ1OS1hMGMyLWRkYjYyYzJhMTNkMg.jpg;São Bernardo/SP;Claudia Peruzzato
85;./Mulheres Palestrantes_files/7e8715a92e543bffbd9c1d41872ab06b;Porto Alegre/RS;Conceição Morais
86;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAWbAAAAJDkxM2EyMmU2LTNmYzctNDQ4MC05MWI5LWIzZmE3ZDBhZTk0Yg.jpg;Recife/PE;Cynthia Torchi
87;./Mulheres Palestrantes_files/placeholder-female.jpg;Taubaté/SP;Cynthia Tscha
88;./Mulheres Palestrantes_files/acf2c97fd68b165d50bdf8f446afc0e7.jpeg;Recife/PE;Cynthia Zanoni
89;./Mulheres Palestrantes_files/0d6bb01b9265417c64fd97c6fb19bc7c.jpeg;Porto Alegre/RS;Cristal Bittencourt
90;./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAwtAAAAJDY1OWQ1ZGIwLTEwNGMtNDllMS04ODhlLTA4YjQzMGQyYjY3NQ.jpg;Salvador/BA;Daiany Maia de Andrade
91;./Mulheres Palestrantes_files/13053265;Ribeirão Preto/SP;Dalianny Vieira
92;./Mulheres Palestrantes_files/d0527f5a78b2e1575ccd9da7522a41c1.jpeg;Salvador/BA;Daniela Araújo
93;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxYAAAAJGYwNjlmMDcyLTdkMGYtNDM1OC1hYWEyLTA1YzdmMmUzZjIxOQ.jpg;Porto Alegre/RS;Daniela Bertocchi
94;./Mulheres Palestrantes_files/cf45e10a82c4f4638863f6d856df9ca2.jpeg;São Paulo/SP;Daniela Castilho Schwab
95;./Mulheres Palestrantes_files/0bd72ea.jpg;Campinas/SP;Daniela Feitosa
96;./Mulheres Palestrantes_files/23b588ae707121505f5bcdedb8095227.png;Salvador/BA;Daniela Palumbo
97;./Mulheres Palestrantes_files/4bb860bd1c186becbfb64a5a40d8ee19.jpeg;Campinas/SP;Daniela Petruzalek
98;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAZAAAAAJGJjOWQ1OGJjLWM1MjYtNDg2My05MjlmLWQ0ZmJlODliNzg2ZA.jpg;Porto Alegre/RS;Daniela Senador
99;./Mulheres Palestrantes_files/AAEAAQAAAAAAAA2WAAAAJGViNDJjZjgyLWIwN2MtNGE1OC1iYzQxLTI5OTcwM2U3ZGEzNA.jpg;São Paulo/SP;Daniela Victorazzi
100;./Mulheres Palestrantes_files/16c4248354041b76f72da23d755d6b7b;São Paulo/SP;Daniele Andrade
101;./Mulheres Palestrantes_files/placeholder-female.jpg;Fortaleza/CE;Daniele Zandoná
102;./Mulheres Palestrantes_files/5931990;Campinas/SP;Danielle Teixeira
103;./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAAsAAAAAJDM2ZjVjZGU0LTRkNjUtNDk2YS1hZWY3LTdiZjQ4ZGYyM2M3Yg.jpg;Lauro de Freitas/BA;Danielle Vieira
104;./Mulheres Palestrantes_files/02582cea45d1ed66154b355aa1dc696d.jpeg;Sorocaba/SP;Dayany Espíndola
105;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAvoAAAAJGY2ZjM4NGQ1LWRjNTQtNDZiYy1hNWYyLTdhYTBjMDZmMzMwMg.jpg;Rio de Janeiro/RJ e São Paulo/SP;Deb Xavier
106;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Déia Zoboli
107;./Mulheres Palestrantes_files/placeholder-female.jpg;Joinville/SC;Deise Lima
108;./Mulheres Palestrantes_files/3b13bc0.jpg;Rio de Janeiro/RJ;Denise Pagnussat
109;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAhBAAAAJDJjNzE0YjE0LThjMjktNDZmNC1hMmViLTA2NWNmNzdhNGUwMg.jpg;Porto Alegre/RS;Denise Teófilo
110;./Mulheres Palestrantes_files/4ce43cd2535d0afe50065a743af646e9.jpeg;Sorocaba/SP;Diana Arnos
111;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAI8AAAAJDc2NTczNDQ4LWY3ZDctNGJhZC04NTkwLWQ4NTAyNWU3MDBiMw.jpg;Osasco/SP;Diane Lima
112;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Elisa Carlos Pereira 
